content,title,url
新华社华盛顿1月6日电 　　新华社记者 林小春 周舟　　全球最大芯片厂商英特尔公司深陷“芯片门”丑闻，芯片漏洞问题持续发酵。据美国媒体报道，英特尔在美国面临至少三起来自消费者的集体诉讼，公司首,“芯片门”继续发酵 英特尔遭多起集体诉讼,http://www.chinanews.com/it/2018/01-06/8418014.shtml
1月6日电 日前，由国外安全机构披露的“Meltdown”(融化)和“Spectre”(幽灵)两组CPU漏洞，引爆了一场安全危机。该漏洞影响全球所有桌面电脑、笔记本和服务器，攻击可以让PC端本应,一键自动检修CPU漏洞 360安全卫士首发免疫工具,http://www.chinanews.com/it/2018/01-06/8417756.shtml
武汉1月6日电 　　作者 马芙蓉 陈逗逗　　中国首个P4实验室——中国科学院武汉国家生物安全(四级)实验室(以下简称“武汉P4实验室”)于近日正式投入运行，意味着中国科研工作者从此可以在自己,揭秘中国首个P4实验室：服务全球公共卫生安全,http://www.chinanews.com/it/2018/01-06/8417741.shtml
创新不仅是“一招鲜，吃遍天”，更应该是一个持续发力、久久为功的过程　　从“芝士超人”到“百万英雄”再到“冲顶大会”，这些天，网上一下子冒出很多直播问答节目。形式几无差别，答题闯关，分享十万甚至百,人民日报：直播问答如何在“风口”闯关,http://www.chinanews.com/it/2018/01-15/8424066.shtml
1月15日电  日前，电通安吉斯集团正式宣布电通数码与美库尔中国成立新战略联盟。美库尔中国与电通数码的联盟将实现数字和效果媒体、数据、分析、CRM、营销技术以及客户忠诚度管理的整合，形成新的全方,电通数码与美库尔中国成立新战略联盟“美库尔电通”,http://www.chinanews.com/it/2018/01-15/8424075.shtml
腾讯百度也要推相应竞品　　直播答题的战事更加汹涌澎湃，各大平台纷纷开足马力，加入“撒钱”大军的巨头越来越多。周鸿祎非常看好其未来，认为答题是直播的一股清流。　　单场奖金越来越高　　上周五《百,答题直播战事汹涌：单场奖金越来越高,http://www.chinanews.com/it/2018/01-15/8424132.shtml
北京1月9日电 (程春雨)今日，国内安全机构披露，检测发现国内安卓应用市场十分之一的APP存在漏洞而容易被进行“应用克隆”攻击，甚至国内用户上亿的多个主流APP均存在这类漏洞，几乎影响国内所有安,“应用克隆”漏洞被发现 涉及国内10%的安卓应用,http://www.chinanews.com/it/2018/01-09/8420060.shtml
杭州1月6日电(童笑雨)在这个“无处不网，无时不网”的时代，网络科学如何渗透各学科，推动社会发展？1月6日，在浙江杭州举办的国际网络科学会议上，30余国的300余名专家以网络科学为中心，就其研究,聚焦互联网时代的社会发展 国际网络科学会议浙江开幕,http://www.chinanews.com/it/2018/01-06/8417993.shtml
新华社华盛顿1月6日电 　　新华社记者 林小春 周舟　　全球最大芯片厂商英特尔公司深陷“芯片门”丑闻，芯片漏洞问题持续发酵。据美国媒体报道，英特尔在美国面临至少三起来自消费者的集体诉讼，公司首,“芯片门”继续发酵 英特尔遭多起集体诉讼,http://www.chinanews.com/it/2018/01-06/8417998.shtml
1月9日电 “百度DuerOS已经成为中国智能语音市场的领导者，在推动众多消费级产品落地的过程中，产品创新和用户体验一直是我们关注的核心焦点。”美国拉斯维加斯时间1月8日，“BAIDU WORL,DuerOS美国连发三款新品上演中国速度,http://www.chinanews.com/it/2018/01-09/8419570.shtml
